Unnamed: 0,date,author,twitter_name,text,number_of_reply,number_of_retweets,number_of_likes,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
486,2018-12-11T06:00:02.000Z,Rus-speaking Babyz,@RusBabyzProject,"#bap #baby Открыли четвертый благотворительный проект https://vk.com/event174730844  ""Благотворительный сбор B.A.B.Y. 2019"". Страница для отправки пожертвований в фонд ""Подари жизнь"": https://friends.podari-zhizn.ru/node/2437",0,2,5,487,новости,1,206,2022-07-30T23:13:54.526531Z,2022-07-30T23:13:54.526531Z,5.408
2078,2012-04-16T08:49:23.000Z,Газета Век,@wek_ru,Фонд выдвинут на премию мира?: Основательниц благотворительного фонда «Подари жизнь» Чулпан Хаматову и Дину Корз... http://bit.ly/IQvYEr,0,0,0,2079,позитивные упоминания,1,205,2022-07-30T23:13:46.043989Z,2022-07-30T23:13:46.043989Z,3.735
578,2018-06-03T16:23:43.000Z,Lana Soroka,@svetlana_soroka,"Другие благотворительные фонды: ""Подари жизнь"", ""Поделись теплом"", ""Российский детский фонд"", ""Радость детства"", ""Расправь крылья"", ""Жизнь детям"", ""Неравнодушные сердца"", ""Дети Земли"", ""Солнце в ладошках"",  ""Детские сердца"", ""Счастливый мир"", ""Радуга"", ""Возрождение"", ""Настенька"".",1,0,0,579,позитивные упоминания,1,204,2022-07-30T23:13:42.129066Z,2022-07-30T23:13:42.129066Z,3.034
757,2017-08-25T22:18:50.000Z,Ulanov Yuri,@UlanovYuri,"Фонд Хабенского - около тысячи детишек, получивших помощь. 
Фонд ""Подари жизнь""  - 4544 ребенка. Скольким помог любитель Родины А. Медведев?",1,0,0,758,позитивные упоминания,1,203,2022-07-30T23:13:38.920132Z,2022-07-30T23:13:38.920132Z,5.705
1251,2015-05-29T00:56:51.000Z,Подари Детям Жизнь,@FondPodari,"Фонд перечислил средства для Алины Трофимовой /  / Благотворительный фонд ""Подари детям жизнь"" перечисл.. http://vk.cc/3PTihg",0,0,0,1252,деятельность фонда,1,202,2022-07-30T23:13:33.034236Z,2022-07-30T23:13:33.034236Z,3.738
644,2017-12-30T18:50:19.000Z,Азбука Вкуса,@azbukavkusa,"Продолжаем рассказывать о тех, кто недавно поддержал нашу акцию «Подари жизнь»! Музыкант Алексей Кортнев, певец и шоумен Тимур Родригез, актёр и шоумен Юрий Стоянов 
В рамках акции часть средств от продажи елочных игрушек мы передадим в Фонд «Подари жизнь»!",0,0,0,645,деятельность фонда,1,201,2022-07-30T23:13:29.109036Z,2022-07-30T23:13:29.109036Z,8.194
1942,2012-11-22T19:47:41.000Z,Roomio,@RoomioOrg,Фонд «Подари жизнь» получит от властей Москвы участок под детский хоспис: Мэрия Москвы предоставила благотворите... http://bit.ly/WCZ9pb,0,0,0,1943,новости,1,200,2022-07-30T23:13:20.734456Z,2022-07-30T23:13:20.734456Z,3.212
2324,2022-03-16T10:42:08.000Z,podarizhizn_priut,@PPodarizhizn,"Рыжули

#домашниепитомцы #собаки #подарижизнь #верныйдруг",0,0,0,2325,0,1,199,2022-07-30T23:13:14.449558Z,2022-07-30T23:13:14.449558Z,3.132
175,2021-03-05T09:55:56.000Z,Дождь,@tvrain,"Обращение подписали фонды «Вера», «Подари жизнь», благотворительный фонд Константина Хабенского и другие организации https://tvrain.ru/s/JdH/",16,14,206,176,новости,1,198,2022-07-30T23:13:11.124733Z,2022-07-30T23:13:11.124733Z,8.975
1102,2015-12-16T13:10:28.000Z,Александр Бочаров,@Eiffel82,"Часть сборов от проката в России ""Маленького принца"" получит фонд ""Подари жизнь"": ""История про Маленького Прин... http://bit.ly/1lPl6Rn",0,0,0,1103,деятельность фонда,1,197,2022-07-30T23:13:01.968638Z,2022-07-30T23:13:01.968638Z,4.088
1878,2012-11-23T07:28:43.000Z,ПРИЗЫВ,@prizyv_ru,"Сегодня в Петушинском районе - Чулпан Хаматова и Дина Корзун. Фонд ""Подари жизнь"" празднует 6-й ДР. Вечером - на http://mirtv33.ru",0,0,0,1879,новости,1,196,2022-07-30T23:12:57.680067Z,2022-07-30T23:12:57.680067Z,6.03
1414,2014-11-20T09:48:50.000Z,Никита ,@potapovich_n,"Фонд «Подари жизнь» приглашает на безумное чаепитие - без шляпника, но со шляпой: Благотворительный фонд ""Пода... http://bit.ly/1vrHbHK",0,0,0,1415,новости,1,195,2022-07-30T23:12:45.515038Z,2022-07-30T23:12:45.515038Z,7.315
1331,2015-03-03T01:55:06.000Z,ИА Мангазея,@MngzRu,«МегаФон» и фонд «Подари жизнь» запускают совместный благотворительный проект. http://mngz.ru/russia-world-sensation/1040540-megafon-i-fond-podari-zhizn-zapuskayut-sovmestnyy-blagotvoritelnyy-proekt.html…,0,0,0,1332,новости,1,194,2022-07-30T23:12:38.011475Z,2022-07-30T23:12:38.011475Z,4.795
598,2018-04-28T10:31:58.000Z,Ирина Джиоева,@IrinaJioewa,"26 апреля в ГБОУ Школа№463 состоялась благотворительная акция! Общими усилиями собрано 192000 рублей для передачи в фонд «Подари жизнь»! 

© Ссылка на источник: http://schu463.mskobr.ru/novosti/26_aprelya_v_gbou_shkola_463_sostoyalas_blagotvoritel_naya_akciya/…",0,1,1,599,деятельность фонда,1,193,2022-07-30T23:12:33.039019Z,2022-07-30T23:12:33.039019Z,5.317
2322,2009-11-13T14:18:51.000Z,tech2304,@tech2304,"Новости, Шоу-бизнес :: Фонд «Подари жизнь», журнал «ОК!» и «Азбука Вкуса»: Фонд «Подари жизнь», журнал «ОК!» и .. http://bit.ly/1JRm3x",0,0,0,2323,0,1,192,2022-07-30T23:12:27.536265Z,2022-07-30T23:12:27.536265Z,9.341
682,2017-11-13T17:40:13.000Z,Ulanov Yuri,@UlanovYuri,"Фонд ""Подари жизнь"", помогающий спасать жизни детишек, принципиально не подавал заявок на гранты, а сытые и здоровые великовозрастные детины аж трижды к Путину с протянутой рукой. Сами-то работать не пробовали?",0,0,0,683,деятельность фонда,1,191,2022-07-30T23:12:18.011525Z,2022-07-30T23:12:18.011525Z,14.34
690,2017-11-13T11:54:13.000Z,The New Times,@the_newtimes,"Фонд ""Подари жизнь"" начал принимать криптовалюту https://newtimes.ru/news/detail/127684…",0,4,4,691,новости,1,190,2022-07-30T23:12:03.490058Z,2022-07-30T23:12:03.490058Z,3.392
