,id,text,date,user,likes,retweets
0,623495513,#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx,2014-12-01 19:30:03+00:00,unknown,925,92
1,623495514,"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9",2014-12-01 19:43:51+00:00,unknown,531,16
2,623495515,My cat only chews @apple cords. Such an #AppleSnob.,2014-12-01 19:50:28+00:00,unknown,161,66
3,623495516,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see",2014-12-01 20:26:34+00:00,unknown,719,42
4,623495517,Nobody expects the Spanish Inquisition #AAPL,2014-12-01 20:29:33+00:00,unknown,33,63
5,623495518,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS,2014-12-01 20:30:03+00:00,unknown,358,61
6,623495519,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB,2014-12-01 20:32:45+00:00,unknown,718,84
7,623495520,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK,2014-12-01 20:34:31+00:00,unknown,978,56
8,623495521,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL,2014-12-01 20:36:47+00:00,unknown,251,70
9,623495522,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd,2014-12-01 20:45:03+00:00,unknown,863,82
10,623495523,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,2014-12-01 20:46:01+00:00,unknown,218,63
11,623495524,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch,2014-12-01 20:47:12+00:00,unknown,119,24
12,623495525,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz",2014-12-01 21:00:15+00:00,unknown,392,61
13,623495526,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3,2014-12-01 21:03:32+00:00,unknown,558,30
14,623495527,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync,2014-12-01 21:09:50+00:00,unknown,399,30
15,623495528,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors,2014-12-01 21:29:45+00:00,unknown,404,66
16,623495529,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,2014-12-01 21:35:14+00:00,unknown,603,27
17,623495530,"@Apple John Cantlie has been a prisoner of ISIS for 739 days, show you have not abandoned him. Sign https://t.co/WTn4fuiJ0P",2014-12-01 21:52:04+00:00,unknown,879,78
18,623495531,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?,2014-12-01 21:53:12+00:00,unknown,745,30
19,623495532,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3,2014-12-01 22:22:09+00:00,unknown,329,31
20,623495533,$AAPL dip only momentarily....just an aberration in the equity world..#AAPL,2014-12-01 23:03:01+00:00,unknown,869,46
21,623495534,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH,2014-12-01 23:12:40+00:00,unknown,223,88
22,623495535,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles,2014-12-01 23:43:14+00:00,unknown,609,34
23,623495536,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc",2014-12-01 23:55:55+00:00,unknown,170,13
24,623495537,i get the storage almost full notification literally every 5 minutes chill @apple,2014-12-02 00:06:05+00:00,unknown,118,56
25,623495538,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n,2014-12-02 00:14:25+00:00,unknown,665,65
26,623495539,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle,2014-12-02 00:15:11+00:00,unknown,228,16
27,623495540,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,2014-12-02 00:15:14+00:00,unknown,212,59
28,623495541,Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads,2014-12-02 00:15:16+00:00,unknown,257,10
29,623495542,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,2014-12-02 00:15:26+00:00,unknown,159,12
30,623495543,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz,2014-12-02 00:16:03+00:00,unknown,992,30
31,623495544,@thehill @Apple i cite the 4th amendment as a retort,2014-12-02 00:16:04+00:00,unknown,451,9
32,623495545,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,2014-12-02 00:16:27+00:00,unknown,99,35
33,623495546,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.,2014-12-02 00:17:02+00:00,unknown,101,18
34,623495547,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,2014-12-02 00:18:59+00:00,unknown,185,3
35,623495548,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1,2014-12-02 00:22:26+00:00,unknown,640,79
36,623495549,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL,2014-12-02 00:22:31+00:00,unknown,53,7
37,623495550,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc",2014-12-02 00:23:47+00:00,unknown,233,8
38,623495551,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,2014-12-02 00:24:26+00:00,unknown,819,25
39,623495552,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL,2014-12-02 00:24:47+00:00,unknown,23,7
40,623495553,RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed,2014-12-02 00:25:38+00:00,unknown,906,15
41,623495554,Nigga update yall headphones @Apple,2014-12-02 00:27:23+00:00,unknown,344,69
42,623495555,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,2014-12-02 00:27:36+00:00,unknown,125,64
43,623495556,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,2014-12-02 00:28:38+00:00,unknown,528,96
