,date,author,twitter_name,text,number_of_reply,number_of_retweets,number_of_likes,text_lengh,negative
0,2012-11-24,Modnov Semen,@Modnov24,фонд подари жизнь получит властей участок детский хоспис,0,0,0,56,0
1,2015-09-22,Жандос Сеит,@Zhandik,понравилось видео подари детям жизнь фильм третий аутизм фонд д,0,0,0,63,0
2,2017-10-27,Медвестник,@Med_vestnik,фонд подари жизнь заявил правовом вакууме отношении трансплантации костного мозга деть,0,0,0,86,0
3,2017-02-13,Anna,@C_a_l_i_p_s_o,благотворительнаяярмарка фондподарижизнь,0,0,0,40,0
4,2014-01-20,Татьяна,@leyamonstr,фонд подари жизнь начинает сбор средств бедным родителям продавать нечего сразу вчера врать,0,0,0,91,0
5,2017-04-26,Натали Уткина,@jNLVhCuuOEYcAJl,фонд подари жизнь проводит флешмоб донорыдеть,0,0,0,45,0
6,2012-01-22,bizinfo.by,@bizinfoby,лондоне открылся фонд подари жизнь,0,0,0,34,0
7,2014-08-25,Masha,@evighet,видела наших обливавшихся пожертвовал деньги фонд подари жизнь левандовски например польский фонд,1,0,0,97,0
8,2016-05-31,Sergey Korolev,@Ar0visTM,благотворительный фонд подари жизнь рамках фестиваля проведет июня вечер музыка,0,0,0,79,0
9,2021-05-12,Ulvi,@Ulvi44620042,помним её склонили патриётизьму угрозой разгрома оказался её фонд подари жизнь видимо вошла вкус скатилась наклонный,1,0,0,116,0
10,2020-11-16,Ibragim , Ibragimoff,отличная практика регулярно перечисляю фонд подари жизнь круглые столы м логос,0,0,1,78,0
11,2013-06-04,Marina,@mrndaisy_1,фонд подари жизнь помогай короткий номер,0,0,0,40,0
12,2018-11-19,Aleksandr Botinov,@sashadelaet,здравствуйте благотворительный фонд подари жизнь относитесь животным зависит приготовить,0,1,2,88,0
13,2015-12-17,Культур-мультур,@inp_culture,часть сборов проката россии маленького принца получит фонд подари жизнь часть средств вырученных пр,0,0,0,99,0
14,2012-12-15,Ольга РяскОва,@pressa_dim,фонд чулпан хаматовой подари жизнь акция благотворительность вместо корпоратива деньги предназнач гулянья больным деть,0,0,0,118,0
15,2010-11-02,miros miros,@mirosm2,поддержала фонд подари жизнь,0,0,0,28,0
16,2019-02-28,ар2дэ2,@orangevyy,фондподарижизнь волонтеры собирают пазл увидеть труд,0,0,0,52,0
17,2022-03-22,Лина Ланг,@x67oDt4Y84459HE,чулпан классная фонд подари жизнь спас жизни тысяч детей началу г имела имеет право личное мнение вой который поднимали поднимают вокруг неё ненависть беспомощность одном флаконе отвратительная гремучая смесь,4,0,2,208,0
18,2014-01-04,Gertuin,@Gertuin,открыть счетвклад сбербанке фонд подари жизнь обсуждение,0,0,0,56,0
19,2017-11-26,ASI_News,@ASI_Russia,ноября безумноечаепитие пользу подопечных фонда подарижизнь регистрируем событие зовем друзей онлайн пьем чай помогаем собрать средства лечение детей которые борются раком благотворительность помощьдеть,0,0,0,202,0
20,2011-08-08,miloserdie_ru,@miloserdie_ru,фонд подари жизнь игры победителей вторые международные игры детей перенесших онкологические заболевань,1,2,0,103,0
21,2012-04-08,Карина,@svet_lica,академия ника наградила спецпризом фонд подари жизнь специальным призом созданным году академией кинематографических иск,0,0,0,120,0
22,2012-12-15,Igor,@I88IMXO,фонд подари жизнь предупредил мошенниках соцсеть,0,0,0,48,0
23,2021-11-30,Смоленская газета,@Smolgazeta,смолянин выступил благотворительном концерте фонда подари жизнь смоленск концерт фонд подарижизнь благотворительность,0,0,0,117,0
24,2018-11-23,ар2дэ2,@orangevyy,здравствуйте давно виделись современник делам фондподарижизнь,0,1,9,61,0
25,2010-09-20,German,@Stolichnji,фонд подари жизнь провел благотворительный спектакль детей сентября рамках открытия нового сезон,0,0,0,96,0
26,2019-09-18,Нефёдов Дмитрий,@Diman77768,сдавать кровь опасно сколько платят донорам татуировками фонд подари жизнь отвечает вопросы донорстве крови помощь,0,0,0,114,0
27,2012-11-23,egor mashin,@exciter1977,фонд подари жизнь получит участок детский хоспис,0,0,0,48,0
28,2012-11-23,Николай Белов,@raziel_78,фонд подари жизнь получит участок детский хоспис,0,0,0,48,0
29,2015-10-07,Albert Sabitov,@asabitov,фонд подари жизнь получил мэрии здания усадьбы измалковый,0,0,0,57,0
30,2014-09-17, между нами ,(касатики),профком волггасу принял эстафету деньги перечислены фонд подари жизнь,1,0,0,69,0
31,2017-06-06,39Газет.ру,@39gazet,фонд подари жизнь провел детей игры победитель,0,0,0,46,0
32,2021-11-26,ForbesRussia,@ForbesRussia,фонд солнечный город запускает проект трудностях родительства рамках дня матери подари жизнь проводит благотворительный концерт честь летия кризисный центр женщин инго создает онлайн платформу рассказывает сам,0,1,3,209,0
33,2012-11-23,Dolt Vanst,@doltvanst,фонд подари жизнь получит участок детский хоспис фонд подари жизнь получит участок детский хоспис,0,0,0,97,0
34,2020-12-17,Vladimir Ermakov,@noiretlunaire,людей подари жизнь фонд хабенского моймио вера дом маяком острова животных фонд рэй россии среды общества городские проекты фонд внимание,1,0,7,137,0
