,date,author,twitter_name,text,number_of_reply,number_of_retweets,number_of_likes,m1_notoxic,m1_insult,m1_obscenity,m1_threat,m1_dangerous,m2_neutral,m2_toxic
0,2022-03-20T21:22:37.000Z,Фонд Подари жизнь,@podarizhizn,"





'фонд Подари жизнь' — Поиск в Твиттере / Твиттер




Функции JavaScript недоступны.
В вашем браузере отключены функции JavaScript. Включите их или начните использовать поддерживаемый браузер, чтобы продолжить пользоваться сайтом twitter.com. Список поддерживаемых браузеров приведен в Справочном центре.
Справочный центр

Условия предоставления услуг
Политика конфиденциальности
Политика в отношении файлов cookie
Imprint
Информация о рекламе
      © 2022 Twitter, Inc.
    

Для просмотра горячих клавиш нажмите знак вопросаПосмотреть горячие клавишиПопулярноеПоследнееЛюдиФотографииВидеоПосмотреть новые твитыЛента поискаЛюдиФонд Подари жизнь@podarizhiznЧитатьpodarizhizn: нажмите, чтобы ЧитатьБлаготворительный фонд помощи детям с онкологическими, гематологическими и другими тяжелыми заболеваниями «Подари жизнь» создан 26 ноября 2006 года.Посмотреть всеMasha@arctic_lanes·19 мар.А по телеку всё идет реклама: ""Оформи ежемесячное пожертвование в фонд ""Подари жизнь"" и ты поможешь детям..."". Да уже помогли, чего там говорить! (319Просто СЕРЁГА. И да, я патриот!!!@MgNBAiiDua58SZ5·21 мар.Чулпан Хаматова эмигрировала в Латвию. 
Сказала, что боится возвращаться в Россию. 
А почему? Чем мы ей не угодили? 
А как же фонд ""Подари жизнь"" вышла ли из него?

Вот я и том, гниль проявилась явно. Кстати какая реклама на тв и какие премии она получала.. Двуличная проститутка.2963335водка@vodkaofsuga·19 мар. 2018 г.Русскоязычные АРМИ пожертвовали 841 640 р. в фонд ""Подари Жизнь"" от имени BTS.131146Показать эту веткуCompatriot Z@cardros·26 апр.Оппа, какой интересный поворот!
Хотя, честно сказать, сразу о чем-то таком подумалось. 

Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.rubaltic.ruВ фонде актрисы Чулпан Хаматовой обнаружилась миллиардная задолженностьДебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.92461570aavst2055@aavst20551·21 мар.Фонд «Подари жизнь» Чулпан Хаматовой к началу 2022 года спас более чем 73 тыс детей.
Все, что вы хотели об этом знать364119526Прекрасная женщина@Ari8124·4 сент. 2019 г.Почему мы все время слышим про дорогое жильё, джеты, яхты, но никогда не слышым новости типа «Миллер построил приют для животных на 1000 мест» или Сечин пожертвовал свою премию в фонд «подари жизнь»? Ведь не может быть, чтобы эти прекрасные люди не были благотворителями?52111235док Макс Кауфман, эсквайр.@DEskvajr·24 апр.Чулпан Хаматову заподозрили в отмывании денег через фонд для больных детей

Сбежавшая в Латвию российская актриса Чуплан Хаматова множила свой капитал, прокручивая через банковские счета пожертвованные деньги в фонд «Подари жизнь»31125мартовская аляска@aalaskamarch·29 июн.дима с антоном поддержавшие фонд «подари жизнь» спасли мое уебское настроение 23The Village@villagemsk·8 апр. 2021 г.Фонд «Подари жизнь» построит пансионат для онкобольных детей. Вот как он будет выглядеть 

http://we.the-village.ru/cwft434",0.0,3.0,19,0.9982058,0.0018717314,0.00010489038,0.00015998956,0.37256506,0.7974871,0.2906293
1,2022-03-20T21:22:37.000Z,Masha,@arctic_lanes,"А по телеку всё идет реклама: ""Оформи ежемесячное пожертвование в фонд ""Подари жизнь"" и ты поможешь детям..."". Да уже помогли, чего там говорить! (",29.0,63.0,335,0.99986386,0.00017963994,0.000106161584,0.00012363296,0.047152717,0.952932,0.07994232
2,2022-03-20T21:22:37.000Z,"Просто СЕРЁГА. И да, я патриот!!!",@MgNBAiiDua58SZ5,"Чулпан Хаматова эмигрировала в Латвию. 
Сказала, что боится возвращаться в Россию. 
А почему? Чем мы ей не угодили? 
А как же фонд ""Подари жизнь"" вышла ли из него?

Вот я и том, гниль проявилась явно. Кстати какая реклама на тв и какие премии она получала.. Двуличная проститутка.",1.0,31.0,146,0.010284966,0.98173803,0.0047744336,0.0052480465,0.96045774,0.11824974,0.7427905
3,2022-03-20T21:22:37.000Z,водка,@vodkaofsuga,"Русскоязычные АРМИ пожертвовали 841 640 р. в фонд ""Подари Жизнь"" от имени BTS.",92.0,461.0,570,0.99653685,0.003471423,0.00045060818,0.0003748544,0.59743726,0.6697045,0.36554536
4,2022-03-20T21:22:37.000Z,Compatriot Z,@cardros,"Оппа, какой интересный поворот!
Хотя, честно сказать, сразу о чем-то таком подумалось. 

Дебиторская задолженность фонда «Подари жизнь», известного как фонд актрисы Чулпан Хаматовой, за 2021 год составила более одного миллиарда рублей.",364.0,119.0,526,0.99354964,0.0075263507,0.00024434834,0.0001499416,0.34678507,0.9339162,0.1126869
5,2022-03-20T21:22:37.000Z,aavst2055,@aavst20551,"Фонд «Подари жизнь» Чулпан Хаматовой к началу 2022 года спас более чем 73 тыс детей.
Все, что вы хотели об этом знать",52.0,111.0,235,0.99966276,0.0003788659,0.000118047574,0.00011568491,0.15622848,0.9565279,0.07171663
6,2022-03-20T21:22:37.000Z,Прекрасная женщина,@Ari8124,"Почему мы все время слышим про дорогое жильё, джеты, яхты, но никогда не слышым новости типа «Миллер построил приют для животных на 1000 мест» или Сечин пожертвовал свою премию в фонд «подари жизнь»? Ведь не может быть, чтобы эти прекрасные люди не были благотворителями?",3.0,11.0,25,0.9998617,0.00020915951,0.00012820179,0.00015234198,0.13019206,0.9519586,0.08126402
7,2022-03-20T21:22:37.000Z,"док Макс Кауфман, эсквайр.",@DEskvajr,"Чулпан Хаматову заподозрили в отмывании денег через фонд для больных детей

Сбежавшая в Латвию российская актриса Чуплан Хаматова множила свой капитал, прокручивая через банковские счета пожертвованные деньги в фонд «Подари жизнь»",0.0,0.0,23,0.99854666,0.0013568539,0.0007884747,0.00021115587,0.55005056,0.88598025,0.1778117
8,2022-03-20T21:22:37.000Z,мартовская аляска,@aalaskamarch,дима с антоном поддержавшие фонд «подари жизнь» спасли мое уебское настроение ,0.0,4.0,34,0.007643197,0.9906974,0.0015635832,0.002668039,0.91482574,0.12501732,0.71712625
9,2022-05-06T19:30:38.000Z,maart,@arcteryx74,"





'фонд Подари жизнь' — Поиск в Твиттере / Твиттер




Функции JavaScript недоступны.
В вашем браузере отключены функции JavaScript. Включите их или начните использовать поддерживаемый браузер, чтобы продолжить пользоваться сайтом twitter.com. Список поддерживаемых браузеров приведен в Справочном центре.
Справочный центр

Условия предоставления услуг
Политика конфиденциальности
Политика в отношении файлов cookie
Imprint
Информация о рекламе
      © 2022 Twitter, Inc.
    

Для просмотра горячих клавиш нажмите знак вопросаПосмотреть горячие клавишиПопулярноеПоследнееЛюдиФотографииВидеоПосмотреть новые твитыЛента поискаmaart@arcteryx74·15 окт. 2021 г.Оплатил в метро проезд лицом, метрополитен перевёл в фонд «Подари жизнь» 2 миллиарда рублей.410Мама Стифлeрa@ds107m6p·7 маяУ всего есть финансовый след.

""Дебиторская задолженность фонда ""Подари жизнь"" (ранее известного как фонд Хаматовой) за последние годы демонстрирует прямо-таки аномальный рост более чем в 30 раз: с ₽31 миллиона в 2018 до ₽1,06 миллиарда в 2021"".

По-русски говоря, миллиард йок.3210Показать эту веткуДарси | Сахарок@Sorry_I_Fell·30 июн.Антон с Димой, которые приехали  в фонд ""подари жизнь"" просто >>>>>>>>>>>>24irinar бумеранг@23kiskis·24 мар.А бумеранг никому еще не удалось отменить.

К вопросу об эмиграции Хаматовой в Латвию, в свою избушку. Началась проверка Фонда. Оказалось, что они тратили 8 млн. рублей в месяц себе на зарплату. Даже по западным меркам это преступление.
Фонд ""Подари жизнь"" Хаматовой и Корзун256Показать эту веткуГалина Сергеевна любит тебя@GalinaS_Support·3 дек. 2020 г.Фонд ""Подари жизнь"" помогает людям до 25 с тяжёлыми заболеваниями, онкологией, болезнями крови

Среди прочего им можно перечислить мили Аэрофлота или баллы РЖД, чтобы оплатить ими дорогу до больницы или мед.центра, стать волонтером, помочь вещамиpodari-zhizn.ruБлаготворительный фонд «Подари жизнь»Благотворительный фонд помощи детям с онкологическими, гематологическими и иными тяжелыми заболеваниями «Подари жизнь». Фонд помогает детям и взрослым до 25 лет получить самую эффективную и совреме...19773Показать эту веткуDina Belolyubskaya@StupidmissGirl·19 мая 2019 г.Алина слишком мила для этого мира

На свой день рождения попросила вместо подарка пожертвовать эти деньги онкобольным детям в благотворительный фонд ""Подари жизнь""848DW на русском@dw_russian·23 апр. 2020 г.Чулпан Хаматова предложила организовать прямую линию, в которой смогут принять участие все те, кто недоволен ее ролью: ""Вы плюнете мне в лицо, скажете все гадости, какие только хотели, но переведете деньги в фонд ""Подари жизнь""dw.comЧулпан Хаматова ответила на травлю за роль ЗулейхиАктриса предложила критикам встретиться в рамках прямой линии, высказать ей в лицо все гадости, но перевести деньги в благотворительный фонд ""Подари жизнь"", помогающий тяжело больным детям.12376388колес.@vankoles·28 нояб. 2021 г.пост максима про фонд “подари жизнь” и видео, где он девочке объясняет как сделать фокус 
просто мое сердце 7↸ଟୀ@i61i61i61·19 сент. 2021 г. Фонд ""Подари Жизнь"" запускает благотворительный NFT-аукцион в котором участвует i61. 

https://rarible.com/podarilife
https://twitter.com/PodariLife1251Институт Биопроблем Академии Наук @bioproblemnet·24 апр.Чулпан Хаматову хуесосят и украинцы - за то, что поддерживала хуйло, и орки - за то, что это же хуйло она перестала поддерживать и уехала

Ребята, в какой момент, по вашему, Чулпан должна была послать пыню и обречь на смерть онкобольных детей, которым помогал фонд «Подари жизнь»?318",0.0,4.0,10,0.99961156,0.0005059781,0.00013305056,0.0001844997,0.25819376,0.912553,0.15515533
